Station_name,Stn_id,Lat,Lon,Month,Temperature,Season
NORTH-SHIELDS-PORT-LINCOLN-AWS,18192,-34.6,135.88,January,26.28,Summer
NOWRA-RAN-AIR-STATION-AWS,68072,-34.95,150.54,January,27.09,Summer
NURIOOTPA-VITICULTURAL,23373,-34.48,139.01,January,30.17,Summer
OODNADATTA-AIRPORT,17043,-27.56,135.45,January,40.56,Summer
ORBOST,84145,-37.69,148.47,January,27.06,Summer
PALMERVILLE,28004,-16.0,144.08,January,35.37,Summer
PERTH-AIRPORT,9021,-31.93,115.98,January,33.37,Summer
PORT-HEDLAND-AIRPORT,4032,-20.37,118.63,January,36.81,Summer
PORT-MACQUARIE-AIRPORT-AWS,60139,-31.43,152.87,January,28.86,Summer
RABBIT-FLAT,15666,-20.18,130.01,January,39.03,Summer
RICHMOND-POST-OFFICE,30045,-20.73,143.14,January,37.68,Summer
RICHMOND-RAAF,67105,-33.6,150.78,January,29.83,Summer
ROBE-COMPARISON,26026,-37.16,139.76,January,23.46,Summer
ROCKHAMPTON-AERO,39083,-23.38,150.48,January,34.92,Summer
RUTHERGLEN-RESEARCH,82039,-36.1,146.51,January,32.26,Summer
SCONE-AIRPORT-AWS,61363,-32.03,150.83,January,32.81,Summer
SNOWTOWN-RAYVILLE-PARK,21133,-33.77,138.22,January,33.48,Summer
ST-GEORGE-AIRPORT,43109,-28.05,148.59,January,38.33,Summer
SYDNEY-OBSERVATORY-HILL,66062,-33.86,151.21,January,27.35,Summer
TARCOOLA-AERO,16098,-30.71,134.58,January,37.18,Summer
TENNANT-CREEK-AIRPORT,15135,-19.64,134.18,January,38.86,Summer
THARGOMINDAH-AIRPORT,45025,-27.99,143.81,January,42.33,Summer
TIBOOBURRA-POST-OFFICE,46037,-29.43,142.01,January,39.22,Summer
TOWNSVILLE-AERO,32040,-19.25,146.77,January,33.25,Summer
VICTORIA-RIVER-DOWNS,14825,-16.4,131.01,January,37.54,Summer
WAGGA-WAGGA-AMO,72150,-35.16,147.46,January,33.06,Summer
WALGETT-AIRPORT-AWS,52088,-30.04,148.12,January,36.25,Summer
WANDERING,10917,-32.67,116.67,January,33.51,Summer
WEIPA-AERO,27045,-12.68,141.92,January,34.95,Summer
WILCANNIA-REID-ST,46043,-31.56,143.37,January,36.09,Summer
WILLIAMTOWN-RAAF,61078,-32.79,151.84,January,33.26,Summer
